1	вот	вот	PART	_	_	_	_	_	@avk1974m-words#@avk1974m-words#488.31#488.723
2	почему	почему	ADV	_	Degree=Pos	_	_	_	@avk1974m-words#@avk1974m-words#488.723#489.136
3	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@avk1974m-words#@avk1974m-words#489.136#489.549
4	приехали	приехать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@avk1974m-words#@avk1974m-words#489.549#489.962
5	брать	брать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@avk1974m-words#@avk1974m-words#489.962#490.375
6	у	у	ADP	_	_	_	_	_	@avk1974m-words#@avk1974m-words#490.375#490.788
7	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	_	_	_	@avk1974m-words#@avk1974m-words#490.788#491.201
8	интервью	интервью	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@avk1974m-words#@avk1974m-words#491.201#491.62
9	(	(	PUNCT	_	_	_	_	_	@avk1974m-words#@avk1974m-words#492.16#492.428
10	вот	вот	PART	_	_	_	_	_	@avk1974m-words#@avk1974m-words#492.428#492.696
11	)	)	PUNCT	_	_	_	_	_	@avk1974m-words#@avk1974m-words#492.696#492.964
12	сначала	сначала	ADV	_	Degree=Pos	_	_	_	@avk1974m-words#@avk1974m-words#492.964#493.232
13	вы	вы	PRON	_	Case=Nom|Number=Plur|Person=2	_	_	_	@avk1974m-words#@avk1974m-words#493.232#493.5
14	скажете	сказать	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Person=2|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@avk1974m-words#@avk1974m-words#493.5#493.768
15	/	/	PUNCT	_	_	_	_	_	@avk1974m-words#@avk1974m-words#493.768#494.036
16	а	а	CCONJ	_	_	_	_	_	@avk1974m-words#@avk1974m-words#494.036#494.304
17	потом	потом	ADV	_	Degree=Pos	_	_	_	@avk1974m-words#@avk1974m-words#494.304#494.572
18	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	_	_	_	@avk1974m-words#@avk1974m-words#494.572#494.84
19	проведем	провездить	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@avk1974m-words#@avk1974m-words#505.5#506.007
20	интерпретацию	интерпретация	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@avk1974m-words#@avk1974m-words#506.007#506.514
21	психоаналитиком	психоаналитик	NOUN	_	Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing	_	_	_	@avk1974m-words#@avk1974m-words#506.514#507.021
22	не	не	PART	_	_	_	_	_	@avk1974m-words#@avk1974m-words#507.021#507.53
23	был	быть	AUX	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@avk1974m-words#@avk1974m-words#507.53#507.945
24	никогда	никогда	ADV	_	Degree=Pos	_	_	_	@avk1974m-words#@avk1974m-words#507.945#508.36
25	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@avk1974m-words#@avk1974m-words#508.61#509.604
26	был	быть	AUX	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@avk1974m-words#@avk1974m-words#509.604#510.598
