 	да	да	INTJ	_	_	_	_	_	@kt1997m-words#@kt1997m#8.973#9.172
2	во	в	ADP	_	_	_	_	_	@kt1997m-words#@kt1997m#9.172#9.371
3	фрути	фруть	X	_	_	_	_	_	@kt1997m-words#@kt1997m#9.371#9.57
4	лупсе	лупс	X	_		_	_	_	@kt1997m-words#@kt1997m#9.57#9.769
5	ну	ну	INTJ	_	_	_	_	_	@kt1997m-words#@kt1997m#9.769#9.968
6	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kt1997m-words#@kt1997m#9.968#10.167
7	я…	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kt1997m-words#@kt1997m#10.167#10.367
8	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kt1997m-words#@kt1997m#10.456#10.801
9	по	по	ADP	_	_	_	_	_	@kt1997m-words#@kt1997m#10.801#11.146
10	сути	суть	NOUN	_	Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing	_	_	_	@kt1997m-words#@kt1997m#11.146#11.491
11	короче	короче	PART	_	_	_	_	_	@kt1997m-words#@kt1997m#11.491#11.836
12	типа	типа	PART	_	_	_	_	_	@kt1997m-words#@kt1997m#11.836#12.181
13	диджей	диджей	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@kt1997m-words#@kt1997m#12.181#12.526
14	больше	больше	ADV	_	Degree=Cmp	_	_	_	@kt1997m-words#@kt1997m#12.526#12.871
15	чем…	чем	PRON	_	Case=Ins	_	_	_	@kt1997m-words#@kt1997m#12.871#13.216
16	#вздыхает#	#вздыхает#	X	_	_	_	_	_	@kt1997m-words#@kt1997m#13.216#13.561
17	да	да	PART	_	_	_	_	_	@kt1997m-words#@kt1997m#13.561#13.906
18	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kt1997m-words#@kt1997m#13.906#14.251
19	диджей	диджей	NOUN	_	Animacy=Anim|Case=Ins|Gender=Masc|Number=Sing	_	_	_	@kt1997m-words#@kt1997m#14.251#14.596
20	ведь	ведь	PART	_	_	_	_	_	@kt1997m-words#@kt1997m#14.596#14.941
21	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@kt1997m-words#@kt1997m#14.941#15.286
22	сначала	сначала	ADV	_	Degree=Pos	_	_	_	@kt1997m-words#@kt1997m#15.286#15.631
23	сажусь	садиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@kt1997m-words#@kt1997m#15.631#15.976
24	за	за	ADP	_	_	_	_	_	@kt1997m-words#@kt1997m#15.976#16.321
25	гитару	гитара	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@kt1997m-words#@kt1997m#16.321#16.666
26	и	и	CCONJ	_	_	_	_	_	@kt1997m-words#@kt1997m#16.666#17.011
27	придумываю…	придумывать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@kt1997m-words#@kt1997m#17.011#17.356
28	типа	типа	PART	_		_	_	_	@kt1997m-words#@kt1997m#17.356#17.701
29	гармонию	гармония	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@kt1997m-words#@kt1997m#17.701#18.046
30	и	и	CCONJ	_	_	_	_	_	@kt1997m-words#@kt1997m#18.046#18.391
31	текст	текст	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@kt1997m-words#@kt1997m#18.391#18.739
32	вот	вот	INTJ	_	_	_	_	_	@kt1997m-words#@kt1997m#19.674#20.054
33	иногда	иногда	ADV	_	Degree=Pos	_	_	_	@kt1997m-words#@kt1997m#20.054#20.434
34	просто	просто	ADV	_	Degree=Pos	_	_	_	@kt1997m-words#@kt1997m#20.434#20.814
35	гармонию	гармония	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@kt1997m-words#@kt1997m#20.814#21.194
36	вокальную	вокальный	ADJ	_	Case=Acc|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@kt1997m-words#@kt1997m#21.194#21.574
37	партию…	партия	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@kt1997m-words#@kt1997m#21.574#21.954
38	хм…	хм	INTJ	_	_	_	_	_	@kt1997m-words#@kt1997m#21.954#22.334
39	ну…	ну	INTJ	_	_	_	_	_	@kt1997m-words#@kt1997m#22.334#22.714
40	на	на	ADP	_	_	_	_	_	@kt1997m-words#@kt1997m#22.714#23.094
